id,name,premium,coverageLimits,type,createdAt
9600973c-9a7c-4fca-b8e3-5d3639d56535,Basic Plan,49082.111995736406,"{'tripCancellation': 2573.1307100503177, 'medicalExpenses': 21317.449489078885, 'baggageLoss': 3017.1268640536136, 'travelDelay': None, 'adventureActivities': False, 'luxuryAccommodation': None, 'vipAssistance': True, 'conciergeServices': True}",travel,2025-04-20 13:01:46.615723
96b16882-e947-49ba-8d2b-f0b7410059bc,Premium Plan,46139.31185608344,"{'tripCancellation': 1995.9479801002635, 'medicalExpenses': 10639.616369573174, 'baggageLoss': 639.5909240919297, 'travelDelay': None, 'adventureActivities': False, 'luxuryAccommodation': True, 'vipAssistance': False, 'conciergeServices': None}",travel,2025-04-20 13:01:46.616045
341a29d5-22bc-4f54-b62b-cf7935a6624b,Premium Plan,11026.05909926687,"{'tripCancellation': 7179.877915724279, 'medicalExpenses': 42856.27725504881, 'baggageLoss': 674.2461847453068, 'travelDelay': None, 'adventureActivities': False, 'luxuryAccommodation': None, 'vipAssistance': None, 'conciergeServices': None}",home,2025-04-20 13:01:46.619132
be2a6fe1-2231-4030-815d-0373ad96974c,Elite Plan,39883.45269152524,"{'tripCancellation': 5140.308122790414, 'medicalExpenses': 5587.845863314455, 'baggageLoss': 4234.745987960441, 'travelDelay': 734.3766970348826, 'adventureActivities': False, 'luxuryAccommodation': False, 'vipAssistance': False, 'conciergeServices': False}",home,2025-04-20 13:01:46.619453
e8b14986-5677-432c-9025-4ca3ffd20261,Premium Plan,17926.64815357371,"{'tripCancellation': 8972.80090846464, 'medicalExpenses': 32103.554683220624, 'baggageLoss': 1516.2781399285564, 'travelDelay': None, 'adventureActivities': None, 'luxuryAccommodation': None, 'vipAssistance': True, 'conciergeServices': True}",travel,2025-04-20 13:01:46.621492
5a006431-7cd1-483d-8289-1346a6446f1b,Basic Plan,30439.335284775916,"{'tripCancellation': 8594.516470920378, 'medicalExpenses': 48520.071395767874, 'baggageLoss': 4391.503162398618, 'travelDelay': None, 'adventureActivities': None, 'luxuryAccommodation': None, 'vipAssistance': None, 'conciergeServices': False}",home,2025-04-20 13:01:46.622486
435c828c-0017-484b-ad0e-5db04c43f235,Basic Plan,40139.75949366126,"{'tripCancellation': 9815.727288439915, 'medicalExpenses': 15040.721290228481, 'baggageLoss': 4108.046335441939, 'travelDelay': 769.3482353216774, 'adventureActivities': None, 'luxuryAccommodation': True, 'vipAssistance': None, 'conciergeServices': False}",travel,2025-04-20 13:01:46.624294
35f29b4a-9c22-4b6c-b1a5-af5469cc73ef,Basic Plan,10604.66680849214,"{'tripCancellation': 9042.15205452745, 'medicalExpenses': 47409.75251053783, 'baggageLoss': 3978.043583302852, 'travelDelay': None, 'adventureActivities': True, 'luxuryAccommodation': True, 'vipAssistance': True, 'conciergeServices': True}",home,2025-04-20 13:01:46.624608
b10c0c49-d196-4ed0-9904-08c230b07888,Premium Plan,6750.483431013904,"{'tripCancellation': 1497.6287795371838, 'medicalExpenses': 30972.08521656905, 'baggageLoss': 994.9682547409775, 'travelDelay': None, 'adventureActivities': None, 'luxuryAccommodation': None, 'vipAssistance': None, 'conciergeServices': None}",travel,2025-04-20 13:01:46.625713
cc1ae7ee-c5fc-4bc0-a64a-d0ff60e85210,Elite Plan,21418.96525545818,"{'tripCancellation': 8843.513840177282, 'medicalExpenses': 9747.147907329518, 'baggageLoss': 2680.9041015838875, 'travelDelay': None, 'adventureActivities': None, 'luxuryAccommodation': None, 'vipAssistance': None, 'conciergeServices': None}",travel,2025-04-20 13:01:46.627149
